metaamr_id	gene	protein_id	type	phenotype	mechanism	source
MAMR001276	blaOXA-332	WP_063862690.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001277	blaOXA-333	WP_063862693.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001278	blaOXA-334	WP_063862698.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001279	blaOXA-335	WP_063862702.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001280	blaOXA-336	WP_063862707.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001281	blaOXA-338	WP_063862710.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001282	blaOXA-339	WP_063862711.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001283	blaOXA-341	WP_063862712.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001284	blaOXA-342	WP_063862713.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001285	blaOXA-343	WP_063862714.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001286	blaOXA-344	WP_063862715.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001287	blaOXA-345	WP_063862716.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001288	blaOXA-346	WP_063862717.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001289	blaOXA-348	WP_063862718.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001290	blaOXA-349	WP_063862719.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001291	blaOXA-35	WP_063862720.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001292	blaOXA-350	WP_063862721.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001293	blaOXA-351	WP_063862722.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001294	blaOXA-352	WP_063862723.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001295	blaOXA-353	WP_063862724.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001296	blaOXA-354	WP_063862725.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001297	blaOXA-355	WP_063862726.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001298	blaOXA-356	WP_063862727.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001299	blaOXA-357	WP_063862728.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001300	blaOXA-358	WP_063862729.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001301	blaOXA-359	WP_063862730.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001302	blaOXA-361	WP_063862731.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001303	blaOXA-362	WP_063862732.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001304	blaOXA-363	WP_063862733.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001305	blaOXA-364	WP_063862734.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001306	blaOXA-365	WP_063862735.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001307	blaOXA-366	WP_063862736.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001308	blaOXA-37	WP_063862737.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001309	blaOXA-371	WP_063862738.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001310	blaOXA-372	WP_063862739.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001311	blaOXA-373	WP_063862740.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001312	blaOXA-375	WP_063862741.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001313	blaOXA-376	WP_063862742.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001314	blaOXA-377	WP_063862743.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001315	blaOXA-379	WP_063862744.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001316	blaOXA-380	WP_063862745.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001317	blaOXA-381	WP_063862746.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001318	blaOXA-382	WP_063862747.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001319	blaOXA-384	WP_063862748.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001320	blaOXA-385	WP_063862749.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001321	blaOXA-386	WP_063862750.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001322	blaOXA-387	WP_063862751.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001323	blaOXA-388	WP_063862752.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001324	blaOXA-389	WP_063862753.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001325	blaOXA-390	WP_063862754.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001326	blaOXA-391	WP_063862755.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001327	blaOXA-397	WP_063862756.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001328	blaOXA-398	WP_063862757.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001329	blaOXA-400	WP_063862758.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001330	blaOXA-401	WP_063862759.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001331	blaOXA-403	WP_063862760.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001332	blaOXA-404	WP_063862761.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001333	blaOXA-405	WP_063862762.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001334	blaOXA-406	WP_063862763.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001335	blaOXA-408	WP_063862764.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001336	blaOXA-409	WP_063862765.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001337	blaOXA-411	WP_063862766.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001338	blaOXA-412	WP_063862767.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001339	blaOXA-413	WP_063862768.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001340	blaOXA-414	WP_063862769.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001341	blaOXA-416	WP_063862782.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001342	blaOXA-418	WP_063862796.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001343	blaOXA-42	WP_063862802.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001344	blaOXA-420	WP_063862810.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001345	blaOXA-422	WP_063862828.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001346	blaOXA-423	WP_063862833.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001347	blaOXA-429	WP_063862915.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001348	blaOXA-43	WP_063862921.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001349	blaOXA-430	WP_063862927.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001350	blaOXA-431	WP_063862945.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001351	blaOXA-432	WP_063864076.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001352	blaOXA-433	WP_063864077.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001353	blaOXA-435	WP_063864078.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001354	blaOXA-437	WP_063864079.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001355	blaOXA-438	WP_063864080.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001356	blaOXA-439	WP_063864081.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001357	blaOXA-440	WP_063864082.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001358	blaOXA-442	WP_063864083.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001359	blaOXA-446	WP_063864084.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001360	blaOXA-448	WP_063864085.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001361	blaOXA-454	WP_063864086.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001362	blaOXA-457	WP_063864087.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001363	blaOXA-458	WP_063864088.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001364	blaOXA-459	WP_063864089.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001365	blaOXA-46	WP_063864090.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001366	blaOXA-466	WP_063864091.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001367	blaOXA-47	WP_063864092.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001368	blaOXA-470	WP_063864093.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001369	blaOXA-471	WP_063864094.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001370	blaOXA-472	WP_063864095.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001371	blaOXA-473	WP_063864096.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001372	blaOXA-474	WP_063864097.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001373	blaOXA-475	WP_063864098.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001374	blaOXA-476	WP_063864099.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001375	blaOXA-477	WP_063864100.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001376	blaOXA-478	WP_063864101.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001377	blaOXA-479	WP_063864102.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001378	blaOXA-480	WP_063864106.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001379	blaOXA-482	WP_063864108.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001380	blaOXA-483	WP_063864109.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001381	blaOXA-484	WP_063864110.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001382	blaOXA-49	WP_063864111.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001383	blaOXA-499	WP_063864112.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001384	blaOXA-501	WP_063864113.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001385	blaOXA-503	WP_063864114.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001386	blaOXA-504	WP_063864115.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001387	blaOXA-505	WP_063864118.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001388	blaOXA-507	WP_063864138.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001389	blaOXA-508	WP_063864150.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001390	blaOXA-509	WP_063864158.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001391	blaOXA-512	WP_063864184.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001392	blaOXA-513	WP_063864194.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001393	blaOXA-516	WP_063864208.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001394	blaOXA-518	WP_063864216.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001395	blaOXA-53	WP_063864223.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001396	blaOXA-55	WP_063864256.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001397	blaOXA-56	WP_063864264.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001398	blaOXA-60	WP_063864500.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001399	blaOXA-62	WP_063864527.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001400	blaOXA-63	WP_063864528.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001401	blaOXA-67	WP_063864529.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001402	blaOXA-7	WP_063864530.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001403	blaOXA-73	WP_063864531.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001404	blaOXA-74	WP_063864532.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001405	blaOXA-76	WP_063864533.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001406	blaOXA-77	WP_063864534.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001407	blaOXA-79	WP_063864535.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001408	blaOXA-80	WP_063864536.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001409	blaOXA-84	WP_063864537.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001410	blaOXA-86	WP_063864539.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001411	blaOXA-88	WP_063864540.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001412	blaOXA-89	WP_063864541.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001413	blaOXA-93	WP_063864542.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001414	blaOXA-96	WP_063864543.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001415	blaOXA-97	WP_063864544.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001416	blaOXY-1-3	WP_063864545.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001417	blaOXY-1-6	WP_063864546.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001418	blaOXY-2-10	WP_063864547.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001419	blaOXY-2-12	WP_063864548.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001420	blaOXY-2-13	WP_063864549.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001421	blaOXY-2-15	WP_063864550.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001422	blaOXY-2-3	WP_063864551.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001423	blaOXY-2-6	WP_063864552.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001424	blaOXY-2-9	WP_063864553.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001425	blaOXY-3-1	WP_063864554.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001426	blaOXY-5-1	WP_063864555.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001427	blaOXY-6-1	WP_063864556.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001428	blaOXY-6-2	WP_063864557.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001429	blaOXY-6-3	WP_063864558.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001430	blaPDC-10	WP_063864559.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001431	blaPDC-101	WP_063864560.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001432	blaPDC-102	WP_063864561.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001433	blaPDC-105	WP_063864562.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001434	blaPDC-106	WP_063864563.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001435	blaPDC-107	WP_063864564.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001436	blaPDC-108	WP_063864565.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001437	blaPDC-110	WP_063864566.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001438	blaPDC-111	WP_063864567.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001439	blaPDC-112	WP_063864568.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001440	blaPDC-113	WP_063864569.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001441	blaPDC-13	WP_063864570.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001442	blaPDC-17	WP_063864571.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001443	blaPDC-18	WP_063864572.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001444	blaPDC-2	WP_063864573.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001445	blaPDC-21a	WP_063864574.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001446	blaPDC-21b	WP_063864575.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001447	blaPDC-25	WP_063864576.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001448	blaPDC-26	WP_063864577.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001449	blaPDC-32	WP_063864579.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001450	blaPDC-4	WP_063864580.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001451	blaPDC-40	WP_063864581.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001452	blaPDC-42	WP_063864582.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001453	blaPDC-58	WP_063864583.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001454	blaPDC-7	WP_063864584.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001455	blaPDC-9	WP_063864585.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001456	blaPDC-94	WP_063864586.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001457	blaPDC-95	WP_063864587.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001458	blaPDC-96	WP_063864588.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001459	blaPDC-99	WP_063864589.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001460	blaPEDO-1	WP_063864590.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001461	blaPEDO-2	WP_063864591.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001462	blaPEDO-3	WP_063864592.1	AMR	carbapenem	enzyme	AMRFinder
MAMR001463	blaPER-4	WP_063864593.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001464	blaPER-5	WP_063864594.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001465	blaPER-6	WP_063864595.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001466	blaPER-8	WP_063864596.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001467	blaPER-9	WP_063864597.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001468	blaPLA-6	WP_063864598.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001469	blaPME-1	WP_063864599.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001470	blaRAHN-1	WP_063864600.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001471	blaRAHN-2	WP_063864601.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001472	blaSED-1	WP_063864602.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001473	blaSHV-100	WP_063864604.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001474	blaSHV-101	WP_063864605.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001475	blaSHV-102	WP_063864606.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001476	blaSHV-103	WP_063864607.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001477	blaSHV-105	WP_063864608.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001478	blaSHV-106	WP_063864609.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001479	blaSHV-107	WP_063864610.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001480	blaSHV-108	WP_063864611.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001481	blaSHV-109	WP_063864612.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001482	blaSHV-110	WP_063864613.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001483	blaSHV-111	WP_063864614.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001484	blaSHV-119	WP_063864615.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001485	blaSHV-120	WP_063864616.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001486	blaSHV-121	WP_063864617.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001487	blaSHV-128	WP_063864618.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001488	blaSHV-13	WP_063864619.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001489	blaSHV-132	WP_063864620.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001490	blaSHV-133	WP_063864621.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001491	blaSHV-134	WP_063864622.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001492	blaSHV-135	WP_063864623.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001493	blaSHV-137	WP_063864624.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001494	blaSHV-14	WP_063864625.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001495	blaSHV-141	WP_063864626.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001496	blaSHV-142	WP_063864627.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001497	blaSHV-143	WP_063864628.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001498	blaSHV-144	WP_063864629.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001499	blaSHV-145	WP_063864630.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001500	blaSHV-146	WP_063864631.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001501	blaSHV-147	WP_063864632.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001502	blaSHV-148	WP_063864633.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001503	blaSHV-149	WP_063864634.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001504	blaSHV-15	WP_063864635.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001505	blaSHV-150	WP_063864636.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001506	blaSHV-151	WP_063864637.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001507	blaSHV-152	WP_063864638.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001508	blaSHV-153	WP_063864639.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001509	blaSHV-154	WP_063864640.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001510	blaSHV-155	WP_063864641.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001511	blaSHV-156	WP_063864642.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001512	blaSHV-157	WP_063864643.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001513	blaSHV-158	WP_063864644.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001514	blaSHV-159	WP_063864645.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001515	blaSHV-16	WP_063864646.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001516	blaSHV-160	WP_063864647.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001517	blaSHV-161	WP_063864648.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001518	blaSHV-162	WP_063864649.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001519	blaSHV-163	WP_063864650.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001520	blaSHV-164	WP_063864651.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001521	blaSHV-165	WP_063864652.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001522	blaSHV-168	WP_063864653.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001523	blaSHV-172	WP_063864654.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001524	blaSHV-173	WP_063864655.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001525	blaSHV-178	WP_063864656.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001526	blaSHV-179	WP_063864657.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001527	blaSHV-18	WP_063864658.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001528	blaSHV-180	WP_063864659.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001529	blaSHV-182	WP_063864660.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001530	blaSHV-183	WP_063864661.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001531	blaSHV-185	WP_063864662.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001532	blaSHV-186	WP_063864663.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001533	blaSHV-188	WP_063864664.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001534	blaSHV-189	WP_063864665.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001535	blaSHV-190	WP_063864666.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001536	blaSHV-191	WP_063864667.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001537	blaSHV-193	WP_063864668.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001538	blaSHV-1b-b	WP_063864669.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001539	blaSHV-24	WP_063864670.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001540	blaSHV-25	WP_063864671.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001541	blaSHV-29	WP_063864672.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001542	blaSHV-3	WP_063864673.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001543	blaSHV-31	WP_063864674.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001544	blaSHV-32	WP_063864675.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001545	blaSHV-34	WP_063864676.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001546	blaSHV-35	WP_063864677.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001547	blaSHV-36	WP_063864678.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001548	blaSHV-37	WP_063864679.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001549	blaSHV-38	WP_063864680.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001550	blaSHV-40	WP_063864681.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001551	blaSHV-41	WP_063864682.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001552	blaSHV-42	WP_063864683.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001553	blaSHV-44	WP_063864684.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001554	blaSHV-45	WP_063864685.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001555	blaSHV-46	WP_063864686.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001556	blaSHV-48	WP_063864687.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001557	blaSHV-49	WP_063864688.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001558	blaSHV-50	WP_063864689.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001559	blaSHV-51	WP_063864690.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001560	blaSHV-52	WP_063864691.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001561	blaSHV-55	WP_063864692.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001562	blaSHV-56	WP_063864693.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001563	blaSHV-59	WP_063864694.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001564	blaSHV-61	WP_063864695.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001565	blaSHV-62	WP_063864696.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001566	blaSHV-63	WP_063864697.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001567	blaSHV-64	WP_063864698.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001568	blaSHV-65	WP_063864699.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001569	blaSHV-66	WP_063864700.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR001570	blaSHV-67	WP_063864701.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001571	blaSHV-69	WP_063864702.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001572	blaSHV-71	WP_063864703.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR001573	blaSHV-72	WP_063864704.1	AMR	beta-lactam	enzyme	AMRFinder
